Layer,Compute,ConfigModeled,ConfigOverlapped,ResidualConfig,ConfigStall,DrainStall,DataStall,PrefetchFetchedBytes,DramBusy,WallClock,Total,DRAMBusyPct
Conv1_1,50000,250,0,250,250,50,4374,0,5364,54678,54674,9.81
Conv1_2,45000,250,0,250,250,50,4374,0,4850,49678,49674,9.76
Pool1,10000,32,0,32,32,50,1155,0,1146,11241,11237,10.19
Conv2_1,60000,250,0,250,250,50,4374,0,6388,64678,64674,9.88
Conv2_2,55000,250,0,250,250,50,4374,0,5876,59678,59674,9.85
Pool2,5000,32,0,32,32,50,639,0,634,5725,5721,11.07
Conv3_1,70000,250,0,250,250,50,4374,0,7412,74678,74674,9.93
Conv3_2,65000,250,0,250,250,50,4374,0,6900,69678,69674,9.90
Conv3_3,65000,250,0,250,250,50,4374,0,6900,69678,69674,9.90
Pool3,2000,32,0,32,32,50,381,0,378,2467,2463,15.32
TOTAL,427000,1846,0,1846,1846,500,32793,0,45848,462179,462139,9.92
