Layer,Compute,ConfigModeled,ConfigOverlapped,ResidualConfig,ConfigStall,DrainStall,DataStall,PrefetchFetchedBytes,DramBusy,WallClock,Total,DRAMBusyPct
Conv1_1,50000,250,0,250,250,50,4447,9128,9700,54751,54747,17.72
Conv1_2,45000,250,250,0,0,50,1227,2048,2292,46280,46277,4.95
Pool1,10000,32,32,0,0,50,4446,12288,12776,14499,14496,88.12
Conv2_1,60000,250,250,0,0,50,4446,11264,11752,64499,64496,18.22
Conv2_2,55000,250,250,0,0,50,711,1024,1268,55764,55761,2.27
Pool2,5000,32,32,0,0,50,4446,3328,9425,9499,9496,99.22
Conv3_1,70000,250,250,0,0,50,4469,13376,13949,74522,74519,18.72
Conv3_2,65000,250,250,0,0,50,4446,13312,13800,69499,69496,19.86
Conv3_3,65000,250,250,0,0,50,453,512,756,65506,65503,1.15
Pool3,2000,32,32,0,0,50,381,0,378,2434,2431,15.53
TOTAL,427000,1846,1596,250,250,500,29472,66280,76096,457253,457222,16.64
