Layer,Compute,ConfigModeled,ConfigOverlapped,ResidualConfig,ConfigStall,DrainStall,DataStall,PrefetchFetchedBytes,DramBusy,WallClock,Total,DRAMBusyPct
Conv1_1,50000,62500,0,62500,62500,50,35616,0,36352,148170,148166,24.53
Conv1_2,45000,62500,0,62500,62500,50,35616,0,35838,143170,143166,25.03
Pool1,10000,3750,0,3750,3750,50,8904,0,8832,22708,22704,38.89
Conv2_1,60000,62500,0,62500,62500,50,35616,0,37376,158170,158166,23.63
Conv2_2,55000,62500,0,62500,62500,50,35616,0,36864,153170,153166,24.07
Pool2,5000,3750,0,3750,3750,50,8388,0,8320,17192,17188,48.39
Conv3_1,70000,62500,0,62500,62500,50,35616,0,38400,168170,168166,22.83
Conv3_2,65000,62500,0,62500,62500,50,35616,0,37888,163170,163166,23.22
Conv3_3,65000,62500,0,62500,62500,50,35616,0,37888,163170,163166,23.22
Pool3,2000,3750,0,3750,3750,50,8130,0,8064,13934,13930,57.87
TOTAL,427000,448750,0,448750,448750,500,274734,0,285822,1151024,1150984,24.83
